Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
D2206-4_S14_trim2	D2206-4_S14_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6573893.0	0.0	36-38	55.0	84.26904769886062	37.94120439745521	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
preB_ATAC_D210_S20_R1_001	preB_ATAC_D210_S20_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12752781.0	0.0	38.0	57.0	63.7723117601702	38.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
preB_ATAC_D210_S20_R2_001	preB_ATAC_D210_S20_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12752781.0	0.0	38.0	57.0	66.41917868298964	38.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
preB_ATAC_D210_S20_trim1	preB_ATAC_D210_S20_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12028739.0	0.0	36-38	57.0	65.87350817868507	37.934133328522634	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
preB_ATAC_D210_S20_trim2	preB_ATAC_D210_S20_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12028739.0	0.0	36-38	57.0	68.24084276894324	37.899909541640234	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
preB_ATAC_D211_S52_R1_001	preB_ATAC_D211_S52_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8157230.0	0.0	38.0	57.0	78.80147609196612	38.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
preB_ATAC_D211_S52_R2_001	preB_ATAC_D211_S52_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8157230.0	0.0	38.0	57.0	79.48943268625142	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
preB_ATAC_D211_S52_trim1	preB_ATAC_D211_S52_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7805305.0	0.0	36-38	57.0	80.20922666472134	37.93354916944309	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
preB_ATAC_D211_S52_trim2	preB_ATAC_D211_S52_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7805305.0	0.0	36-38	57.0	81.05871951161723	37.900902911545415	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
preB_ATAC_D212_S40_R1_001	preB_ATAC_D212_S40_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9009548.0	0.0	38.0	59.0	73.14116065492675	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
